id,text
3fbcb9c2-c8c8-4270-ad12-ad4c203c5d31,Angeln am Oeschinensee Sie verbringen den ganzen Tag in den Bergen am schönen Oeschinensee und rudern mit dem Gummiboot und der Angel auf dem See herum. Dabei haben Sie viel Spass Berge Wandern Spass Land
8c86f8e7-da3c-480f-ae45-061fce4c0dd1,Aarebötlen Sie fahren von Thun nach Bern mit dem Gummibot und essen am mittag gemütlich ein Entrecote am Fluss Fluss Action Spass Stadt
633194d8-2356-4131-b586-32c1511027db,Petanque spielen Sie lernen auf der Pläfä Petanque spielen und können dazu immer ein Bier geniessen. Unterhaltung Spass Stadt
8955379a-424f-41c7-88bd-d2cbe0657338,Stall misten Sie gehen auf einen Bauernhof und putzen zusammen mit dem Bauern die Scheisse der Kühe. Der Bauer schweizerörgellt dazu noch Land Klassisch Unterhaltung
ae6e142b-886a-4a42-85b4-eed039f2fa80,Kühen melken Sie gehen auf einen Bauernhof und melken zusammen mit dem Bauern die Kühe. Früh aufstehen ist angesagt. Zum Schluss gibt es Glas Milch Land Klassisch Spass
a3878767-69a0-4749-8b68-092602759846,"Chäsen Sie machen Käse zusammen mit dem Käser, dabei schaut er nur zu und Sie müssen alles machen. Land Klassisch Spass"
2dc0f6df-e98f-4392-9946-3b3bf60aa639,"Wandern aufs Stockhorn Sie wandern zusammen mit einem Uhreinwohner auf das Berg, das schöne Stockhorn. Er erzählt dazu ständig Witze. Land Berge Wandern"
3cbcb723-9642-4000-9887-42d5a07f5a90,Bungeesurfen auf der Aare Sie erhalten ein Surfbrett und gehen zusammen mit dem besten Bungeesurfer auf die Aare. Stadt Fluss Wandern
1c154bdf-4986-45bd-aefb-b7453ab207a1,Slacklinen über den Wolken Zusammen mit dem Slackline Dude aus Köniz gehen sie auf einen Hoger oder Berg und laufen dort über das Tobel auf der Slackline Berge Spass Action
d955fb13-4ca5-4b60-9c4b-3b8f397ea3a5,Gin trinken Sie gehen mit dem Gin Dude in die Matte Brennerei und saufen dort den ganzen Abend Gin. Stadt Spass Action Unterhaltung
9a00d3d8-36e5-41bf-8417-97db7a967011,Ab ins Dälhölzli Zusammen mit den Tierpfleger gehen sie in den Zoo und füttern die Tiere auch die Löwen. Stadt Spass Action Unterhaltung
7f834f66-6efb-4c3e-9914-25092b57ab3c,Ab ins Dälhölzli Zusammen mit den Tierpfleger gehen sie in den Zoo und füttern die Tiere auch die Löwen. Stadt Spass Action Unterhaltung
